"AUC_anc" "AUC_pa"
0.36 0.506172839506173
0.509259259259259 0.625
0.421296296296296 0.46583850931677
0.446428571428572 0.434782608695652
0.506787330316742 0.527950310559006
0.354037267080745 0.296296296296296
0.656084656084656 0.659722222222222
0.42 0.328
0.523148148148148 0.479166666666667
0.253393665158371 0.395833333333333
0.553571428571429 0.308641975308642
0.50462962962963 0.64021164021164
0.696428571428572 0.670454545454546
0.397129186602871 0.37888198757764
0.439814814814815 0.523809523809524
0.450892857142857 0.414772727272727
0.330316742081448 0.167701863354037
0.461538461538462 0.305555555555556
0.384615384615385 0.391534391534392
0.33 0.329192546583851
0.592592592592593 0.464285714285714
0.694444444444445 0.782608695652174
0.615384615384616 0.545454545454546
0.398148148148148 0.336538461538462
0.407407407407407 0.5
0.638009049773756 0.607954545454545
0.401913875598086 0.423611111111111
0.48868778280543 0.444976076555024
0.470588235294118 0.679012345679012
0.439153439153439 0.4
0.542986425339367 0.527950310559006
0.389140271493213 0.355769230769231
0.617283950617284 0.446428571428571
0.687782805429864 0.720496894409938
0.625 0.701388888888889
0.337962962962963 0.446428571428571
0.434389140271493 0.402777777777778
0.535714285714286 0.509316770186335
0.305555555555556 0.391304347826087
0.605 0.597222222222222
0.761904761904762 0.75
0.465909090909091 0.596153846153846
0.48 0.633540372670807
0.447963800904977 0.459627329192547
0.601809954751131 0.670807453416149
0.559006211180124 0.567307692307692
0.616071428571428 0.428571428571429
0.62962962962963 0.569444444444445
0.457013574660634 0.444444444444444
0.22360248447205 0.24
0.339366515837104 0.363636363636364
0.751552795031056 0.663461538461538
0.32 0.395061728395062
0.504 0.617283950617284
0.51131221719457 0.304
0.629464285714286 0.6875
0.619909502262444 0.683229813664596
0.413793103448276 0.413793103448276
0.608465608465608 0.432098765432099
0.589285714285714 0.652173913043478
0.4 0.576
0.615740740740741 0.592592592592593
0.398190045248869 0.545454545454545
0.606481481481481 0.672
0.687830687830688 0.798076923076923
0.392 0.135802469135802
0.465608465608466 0.576388888888889
0.455026455026455 0.62111801242236
0.421296296296296 0.447204968944099
0.675925925925926 0.472222222222222
0.361111111111111 0.240384615384615
0.534090909090909 0.446428571428571
0.619909502262443 0.597883597883598
0.634920634920635 0.605769230769231
0.34841628959276 0.159722222222222
0.55026455026455 0.659722222222222
0.42 0.536
0.328703703703704 0.285714285714286
0.555555555555556 0.552
0.61 0.496
0.368421052631579 0.372670807453416
0.48868778280543 0.579545454545455
0.416666666666667 0.45679012345679
0.325892857142857 0.363636363636364
0.502392344497608 0.381944444444444
0.462962962962963 0.471153846153846
0.592592592592593 0.597222222222222
0.315 0.361111111111111
0.542986425339366 0.656084656084656
0.665158371040724 0.639751552795031
0.51131221719457 0.344
0.655502392344498 0.68
0.278409090909091 0.259615384615385
0.511961722488038 0.392
0.574660633484163 0.567307692307692
0.5625 0.653846153846154
0.5625 0.765432098765432
0.759259259259259 0.795031055900621
0.699074074074074 0.805555555555556
0.861607142857143 0.695652173913044
0.535714285714286 0.440993788819876
0.555555555555556 0.503105590062112
0.593301435406699 0.528
0.465608465608466 0.392857142857143
0.601809954751131 0.673076923076923
0.490740740740741 0.528
0.446428571428571 0.513227513227513
0.343891402714932 0.44
0.71 0.698863636363636
0.397321428571429 0.430555555555556
0.334821428571429 0.434782608695652
0.307692307692308 0.236024844720497
0.446428571428571 0.529100529100529
0.53125 0.269230769230769
0.598214285714286 0.568181818181818
0.638888888888889 0.638888888888889
0.380090497737557 0.316770186335404
0.410714285714286 0.465909090909091
0.527777777777778 0.548611111111111
0.556561085972851 0.368055555555556
0.425339366515837 0.44
